metric,value
processed_rows,6552.0
missing_numRatings_clean_treated_as_zero,0.0
missing_bbeVotes_clean_treated_as_zero,4.0
missing_averageRating,0.0
popularity_score_min,-6.450978937945954
popularity_score_median,-0.04154831747184913
popularity_score_max,3.919592192532997
weight_log_numRatings_z,0.5
weight_averageRating_z,0.3
weight_log_bbeVotes_z,0.2
