metric,value
clean_rows,37289
scope_rows,6998
audience_young_adult,4335
audience_middle_grade,2319
audience_crossover,344
middle_grade_fantasy,2092
mythology_adventure,564
paranormal_supernatural,3640
paranormal_romance,2391
dystopian_post_apocalyptic,1132
epic_high_fantasy,2216
romantasy_fae,845
science_fiction,2062
