,popularity_score
count,6552.0
mean,7.634647221842347e-16
std,0.7441470204076359
min,-6.450978937945954
1%,-1.5504614254853692
10%,-0.881685729294757
25%,-0.49698235215176056
50%,-0.04154831747184905
75%,0.4130654942952199
90%,0.9218808925328899
99%,2.09108131060617
max,3.919592192532997
