word,weighted_share_after,book_mentions,weighted_share_before,era_transition,share_change
soul,0.000848249730475942,154.0,0.0004967275554713548,1997-2008 to 2009-2013,0.00035152217500458726
trying,0.0007452906248820987,152.0,0.00039533813017980575,1997-2008 to 2009-2013,0.0003499524947022929
supernatural,0.0006132018676710773,116.0,0.0002664223605571363,1997-2008 to 2009-2013,0.00034677950711394103
amy,0.0004042811371086976,37.0,6.041829310438693e-05,1997-2008 to 2009-2013,0.0003438628440043107
forever,0.0012328403257335168,253.0,0.0008899046585410294,1997-2008 to 2009-2013,0.0003429356671924874
survive,0.0010506267896294615,211.0,0.0007154739102092679,1997-2008 to 2009-2013,0.0003351528794201936
living,0.0009922286419253798,198.0,0.0006592162809431554,1997-2008 to 2009-2013,0.0003330123609822244
apart,0.0005779899871361437,119.0,0.00024883192449780256,1997-2008 to 2009-2013,0.0003291580626383411
run,0.000783501799294332,157.0,0.0004573520257181569,1997-2008 to 2009-2013,0.00032614977357617515
want,0.0010742555281603886,199.0,0.0007483360959812593,1997-2008 to 2009-2013,0.0003259194321791292
meets,0.001035366810149255,223.0,0.0007094585849143843,1997-2008 to 2009-2013,0.00032590822523487066
michael,0.00046610228646588224,52.0,0.00014160438622177205,1997-2008 to 2009-2013,0.0003244979002441102
fate,0.0010512301511083314,194.0,0.000726965050847835,1997-2008 to 2009-2013,0.0003242651002604963
normal,0.000712567789812273,125.0,0.00039050562937930727,1997-2008 to 2009-2013,0.0003220621604329657
chance,0.0008861933130780731,188.0,0.0005734291943586126,1997-2008 to 2009-2013,0.00031276411871946047
discovers,0.0012415581629290206,267.0,0.000931901044519839,1997-2008 to 2009-2013,0.0003096571184091815
girls,0.0009833377076451668,166.0,0.0006756526532954428,1997-2008 to 2009-2013,0.000307685054349724
risk,0.0005289720684228529,110.0,0.00022394760806748284,1997-2008 to 2009-2013,0.00030502446035537013
behind,0.0011214110350467128,231.0,0.0008187324358695185,1997-2008 to 2009-2013,0.0003026785991771943
alive,0.0007728074761786312,156.0,0.00047170810525632985,1997-2008 to 2009-2013,0.0003010993709223013
start,0.0006094733148620382,133.0,0.00030935345920548836,1997-2008 to 2009-2013,0.0003001198556565498
future,0.0013075315585768506,256.0,0.0010101055417727372,1997-2008 to 2009-2013,0.0002974260168041134
keep,0.001273843528324746,255.0,0.0009766287672346387,1997-2008 to 2009-2013,0.00029721476109010724
dangerous,0.0015998810792603169,323.0,0.001303210076652425,1997-2008 to 2009-2013,0.00029667100260789185
hell,0.00048630689409675067,79.0,0.00019214023297745296,1997-2008 to 2009-2013,0.0002941666611192977
brother,0.001081306485228575,191.0,0.0007899958812724575,1997-2008 to 2009-2013,0.00029131060395611746
darkness,0.0008525144118977299,145.0,0.0005619568204810432,1997-2008 to 2009-2013,0.00029055759141668666
fight,0.0011390382092365933,223.0,0.0008499475463097123,1997-2008 to 2009-2013,0.000289090662926881
york,0.0011802545550068622,213.0,0.0008913471230853519,1997-2008 to 2009-2013,0.0002889074319215103
werewolf,0.0004154400468285362,57.0,0.000128672975388429,1997-2008 to 2009-2013,0.00028676707144010725
impossible,0.0005259876423771829,105.0,0.00024240026835798702,1997-2008 to 2009-2013,0.0002835873740191959
demons,0.0006571141453665723,115.0,0.0003759598276575688,1997-2008 to 2009-2013,0.00028115431770900346
falling,0.000529423863062027,115.0,0.0002515835615227654,1997-2008 to 2009-2013,0.0002778403015392616
