first_publish_year,theme_label,weighted_popularity,book_count,year_weighted_popularity,popularity_share,scenario
1997,Dystopian / Post-Apocalyptic,12.836400988267304,5,578.4022177745666,0.022192862672027854,all_books
1997,Epic / High Fantasy,87.79727936926027,21,578.4022177745666,0.15179277788225812,all_books
1997,Middle Grade Fantasy,237.14964504009973,54,578.4022177745666,0.41000818764586633,all_books
1997,Mythology Adventure,14.371432865674217,4,578.4022177745666,0.024846780361543343,all_books
1997,Paranormal / Supernatural,60.62408316432206,18,578.4022177745666,0.10481301990434348,all_books
1997,Paranormal Romance,24.051577083652248,8,578.4022177745666,0.0415827884896292,all_books
1997,Romantasy,13.671196901090049,3,578.4022177745666,0.023636141911230407,all_books
1997,Science Fiction,127.90060236220067,35,578.4022177745666,0.22112744113310123,all_books
1998,Dystopian / Post-Apocalyptic,13.0934625647472,5,446.31534016517065,0.029336797072450217,all_books
1998,Epic / High Fantasy,68.3749189789459,16,446.31534016517065,0.15319867552309982,all_books
1998,Middle Grade Fantasy,183.63397279216298,41,446.31534016517065,0.4114444570159843,all_books
1998,Mythology Adventure,25.292531033412928,5,446.31534016517065,0.05666964309148049,all_books
1998,Paranormal / Supernatural,42.9215141169424,12,446.31534016517065,0.096168583632053,all_books
1998,Paranormal Romance,18.967979193468242,6,446.31534016517065,0.04249905276939091,all_books
1998,Science Fiction,94.03096148549099,24,446.31534016517065,0.2106827908955412,all_books
1999,Dystopian / Post-Apocalyptic,24.84034314091659,8,564.5152953178404,0.04400295855036253,all_books
1999,Epic / High Fantasy,58.80604779506904,14,564.5152953178404,0.1041708670833433,all_books
1999,Middle Grade Fantasy,276.21503071095015,57,564.5152953178404,0.4892959198836803,all_books
1999,Mythology Adventure,18.902142133501616,8,564.5152953178404,0.03348384408762405,all_books
1999,Paranormal / Supernatural,92.48231019465916,18,564.5152953178404,0.16382604857958477,all_books
1999,Paranormal Romance,5.549484911242736,2,564.5152953178404,0.009830530646859084,all_books
1999,Romantasy,2.2965418706367577,1,564.5152953178404,0.004068165893261989,all_books
1999,Science Fiction,85.42339456086425,27,564.5152953178404,0.15132166527528385,all_books
2000,Dystopian / Post-Apocalyptic,26.46675743537446,9,682.7619660175637,0.03876425277428769,all_books
2000,Epic / High Fantasy,84.57139891568697,21,682.7619660175637,0.12386659352010743,all_books
2000,Middle Grade Fantasy,325.31130738618674,75,682.7619660175637,0.47646372173258733,all_books
2000,Mythology Adventure,63.28041634745046,16,682.7619660175637,0.09268298396372976,all_books
2000,Paranormal / Supernatural,58.29577197886237,17,682.7619660175637,0.08538227798319208,all_books
2000,Paranormal Romance,19.210528395841067,6,682.7619660175637,0.028136494637937822,all_books
2000,Romantasy,3.167830241848858,1,682.7619660175637,0.004639728630940416,all_books
2000,Science Fiction,102.45795531631278,33,682.7619660175637,0.15006394675721743,all_books
2001,Dystopian / Post-Apocalyptic,24.619922830817522,8,822.041121796765,0.029949746038257632,all_books
2001,Epic / High Fantasy,107.76105525420479,29,822.041121796765,0.13108961631830238,all_books
2001,Middle Grade Fantasy,330.71287833566527,77,822.041121796765,0.40230697658143205,all_books
2001,Mythology Adventure,43.6305273288842,9,822.041121796765,0.05307584520044372,all_books
2001,Paranormal / Supernatural,126.9121513679392,34,822.041121796765,0.154386621304957,all_books
2001,Paranormal Romance,59.32563455101497,18,822.041121796765,0.07216869445818573,all_books
2001,Romantasy,7.107811230301374,2,822.041121796765,0.008646539743371444,all_books
2001,Science Fiction,121.9711408979376,36,822.041121796765,0.14837596035504996,all_books
2002,Dystopian / Post-Apocalyptic,25.982999034008337,9,929.5511107026593,0.02795220051360862,all_books
2002,Epic / High Fantasy,117.01312763015403,29,929.5511107026593,0.12588132732335972,all_books
2002,Middle Grade Fantasy,349.07340975970885,79,929.5511107026593,0.3755290115202379,all_books
2002,Mythology Adventure,33.23616370206949,7,929.5511107026593,0.03575506856954413,all_books
2002,Paranormal / Supernatural,126.84921652376619,33,929.5511107026593,0.13646287445978014,all_books
2002,Paranormal Romance,49.717465339815725,16,929.5511107026593,0.053485456331964006,all_books
2002,Romantasy,26.264635039436758,8,929.5511107026593,0.02825518116974008,all_books
2002,Science Fiction,201.4140936737,47,929.5511107026593,0.2166788801117655,all_books
2003,Dystopian / Post-Apocalyptic,33.70029350579655,12,1188.3164623840546,0.02835969589968104,all_books
2003,Epic / High Fantasy,212.59201848518717,55,1188.3164623840546,0.17890185419015014,all_books
2003,Middle Grade Fantasy,430.30446725490907,98,1188.3164623840546,0.36211268704601857,all_books
2003,Mythology Adventure,36.954424394195954,11,1188.3164623840546,0.031098133842273213,all_books
2003,Paranormal / Supernatural,145.60554138395506,35,1188.3164623840546,0.12253094692623763,all_books
2003,Paranormal Romance,47.341775444085165,15,1188.3164623840546,0.039839366820775955,all_books
2003,Romantasy,32.64202256720941,10,1188.3164623840546,0.02746913267676314,all_books
2003,Science Fiction,249.17591934871632,63,1188.3164623840546,0.20968818259810038,all_books
2004,Dystopian / Post-Apocalyptic,54.63298260785164,17,1113.1543011293522,0.04907943359911889,all_books
2004,Epic / High Fantasy,174.77632922593176,44,1113.1543011293522,0.1570099752106354,all_books
2004,Middle Grade Fantasy,401.3719774058643,90,1113.1543011293522,0.36057173475290155,all_books
2004,Mythology Adventure,52.9493724507124,13,1113.1543011293522,0.04756696569109291,all_books
2004,Paranormal / Supernatural,165.02521911030016,41,1113.1543011293522,0.14825008441585644,all_books
2004,Paranormal Romance,53.85290214580269,17,1113.1543011293522,0.04837864983422887,all_books
2004,Romantasy,31.70159674475286,10,1113.1543011293522,0.028479067738039515,all_books
2004,Science Fiction,178.8439214381365,49,1113.1543011293522,0.1606640887581265,all_books
2005,Dystopian / Post-Apocalyptic,33.657272947285485,11,1381.0140506993773,0.024371419632002053,all_books
2005,Epic / High Fantasy,199.17560017144723,49,1381.0140506993773,0.14422416634398477,all_books
2005,Middle Grade Fantasy,517.162339000145,111,1381.0140506993773,0.37448014286186454,all_books
2005,Mythology Adventure,75.13913401927822,17,1381.0140506993773,0.05440866729866074,all_books
2005,Paranormal / Supernatural,248.17376744922535,64,1381.0140506993773,0.17970401338316902,all_books
2005,Paranormal Romance,83.1474589586559,26,1381.0140506993773,0.06020754018870997,all_books
2005,Romantasy,37.94386214147318,11,1381.0140506993773,0.027475362848232817,all_books
2005,Science Fiction,186.61461601186681,47,1381.0140506993773,0.13512868744337603,all_books
2006,Dystopian / Post-Apocalyptic,58.13821696320752,19,1387.430075456374,0.04190352940423599,all_books
2006,Epic / High Fantasy,259.8343743972105,65,1387.430075456374,0.18727745563086629,all_books
2006,Middle Grade Fantasy,446.45342875346904,105,1387.430075456374,0.32178445361047475,all_books
2006,Mythology Adventure,63.97283915266267,17,1387.430075456374,0.04610887444660574,all_books
2006,Paranormal / Supernatural,204.53276464906315,57,1387.430075456374,0.14741843085806342,all_books
2006,Paranormal Romance,77.28573632629207,27,1387.430075456374,0.05570423886109727,all_books
2006,Romantasy,43.14440158261489,14,1387.430075456374,0.03109663135161835,all_books
2006,Science Fiction,234.06831363185404,62,1387.430075456374,0.1687063858370382,all_books
2007,Dystopian / Post-Apocalyptic,59.514917600962455,21,1831.97443260527,0.03248676211945036,all_books
2007,Epic / High Fantasy,279.9717941343203,76,1831.97443260527,0.15282516456093193,all_books
2007,Middle Grade Fantasy,663.3784091083451,149,1831.97443260527,0.3621111721329799,all_books
2007,Mythology Adventure,125.607397610571,30,1831.97443260527,0.06856394684064634,all_books
2007,Paranormal / Supernatural,254.85925008448055,67,1831.97443260527,0.13911725270207104,all_books
2007,Paranormal Romance,132.98790959706824,40,1831.97443260527,0.0725926668135563,all_books
2007,Romantasy,38.848228170971666,12,1831.97443260527,0.021205660668377993,all_books
2007,Science Fiction,276.8065262985506,65,1831.97443260527,0.15109737416198604,all_books
2008,Dystopian / Post-Apocalyptic,123.66270798758993,33,1987.9078994702386,0.06220746344463194,all_books
2008,Epic / High Fantasy,300.2535088890148,75,1987.9078994702386,0.15103994957162248,all_books
2008,Middle Grade Fantasy,588.5521530913754,137,1987.9078994702386,0.29606610711100845,all_books
