data_driven_era,theme_label,book_count,weighted_popularity,avg_popularity_score,era_weighted_popularity,popularity_share
1997-2008,Middle Grade Fantasy,1073,4749.319018638882,0.09747492757789958,12913.384273519232,0.3677826755591909
1997-2008,Science Fiction,572,2193.7301592081744,-0.09057687436834148,12913.384273519232,0.16988034373814279
1997-2008,Epic / High Fantasy,494,1950.9274532464328,0.16339918791262006,12913.384273519232,0.15107793680755652
1997-2008,Paranormal / Supernatural,491,1883.3988251253825,0.08705779766488257,12913.384273519232,0.14584858509845208
1997-2008,Paranormal Romance,239,758.6259899075778,0.24034295142848422,12913.384273519232,0.058747263601784894
1997-2008,Mythology Adventure,150,606.2317546827219,-0.0944961606106949,12913.384273519232,0.04694600128379112
1997-2008,Dystopian / Post-Apocalyptic,157,491.146277606825,0.05403890873738977,12913.384273519232,0.03803389314557855
1997-2008,Romantasy,84,280.00479510323606,0.26474725014557937,12913.384273519232,0.021683300765503163
2009-2013,Paranormal / Supernatural,1337,4490.475070083827,-0.0650355611938231,18577.55955555348,0.2417150141091308
2009-2013,Science Fiction,880,3087.401694918929,-0.07259158119547025,18577.55955555348,0.1661898424110285
2009-2013,Paranormal Romance,1029,3039.923886772534,0.004580794814903722,18577.55955555348,0.1636341887470249
2009-2013,Middle Grade Fantasy,623,2791.8431617404026,0.05333336763212409,18577.55955555348,0.15028040434438136
2009-2013,Epic / High Fantasy,482,2002.8084533195777,0.0399131629731577,18577.55955555348,0.10780794147533057
2009-2013,Dystopian / Post-Apocalyptic,545,1668.0528616107172,0.01647514403152891,18577.55955555348,0.08978858911056906
2009-2013,Mythology Adventure,238,1087.189765343061,0.07477457306433999,18577.55955555348,0.05852166761150617
2009-2013,Romantasy,117,409.8646617644304,0.05646755748655928,18577.55955555348,0.022062352191028645
2014-2018,Science Fiction,534,1990.2343985519844,-0.04280366282544334,9701.91504293444,0.2051383041125887
2014-2018,Epic / High Fantasy,406,1775.7687818867248,0.170894346863846,9701.91504293444,0.18303281094797402
2014-2018,Paranormal / Supernatural,456,1656.4255110802417,-0.08600682777868264,9701.91504293444,0.17073180951904515
2014-2018,Middle Grade Fantasy,351,1554.3275304503643,0.018745452474606638,9701.91504293444,0.16020832212732328
2014-2018,Dystopian / Post-Apocalyptic,380,1242.6573388759812,0.051483711145448606,9701.91504293444,0.12808371681021513
2014-2018,Paranormal Romance,277,788.9442243429842,-0.03842221726203074,9701.91504293444,0.08131840166107661
2014-2018,Mythology Adventure,95,359.4711291816531,0.11435574606217633,9701.91504293444,0.03705156431393853
2014-2018,Romantasy,97,334.0861285645079,0.1239419833376619,9701.91504293444,0.034435070507838644
2019-2021,Epic / High Fantasy,66,295.22061794910206,0.13797898670258618,1080.5071294147447,0.2732241277380631
2019-2021,Science Fiction,60,238.25992087090407,-0.17434207651173486,1080.5071294147447,0.22050749540167983
2019-2021,Middle Grade Fantasy,43,172.5303015279769,-0.12161943497906974,1080.5071294147447,0.1596753013757787
2019-2021,Dystopian / Post-Apocalyptic,37,110.78005751055659,-0.1531456264610202,1080.5071294147447,0.10252598478508926
2019-2021,Paranormal / Supernatural,27,103.40328492543722,0.17003672669264175,1080.5071294147447,0.09569884557952475
2019-2021,Romantasy,18,63.24496646903578,0.10323223988132445,1080.5071294147447,0.05853266928770043
2019-2021,Paranormal Romance,17,49.88761824198352,0.3392839017142987,1080.5071294147447,0.046170559067949035
2019-2021,Mythology Adventure,13,47.18036191974839,0.11074231591968721,1080.5071294147447,0.04366501676421476
