data_driven_era,book_share,rating_share,bbe_vote_share,series_flag,title_clean,primary_author
1997-2008,0.02723146747352496,0.6800820124770502,0.9003632996153298,blockbuster_franchise,The Hunger Games Trilogy Boxset,Suzanne Collins
1997-2008,0.02773575390821987,0.6822183201600738,0.9006553640119676,series,The Reptile Room,Lemony Snicket
1997-2008,0.028240040342914774,0.6843012018305406,0.901745262857957,series,Gone,Michael Grant
1997-2008,0.028744326777609682,0.6862791391323406,0.9024576150448782,series,Beastly,Alex Flinn
1997-2008,0.02924861321230459,0.688239535300473,0.9033409317566605,series,Specials,Scott Westerfeld
1997-2008,0.029752899646999495,0.6901344430186392,0.9042100014247044,standalone,The Invention of Hugo Cabret,Brian Selznick
1997-2008,0.030257186081694403,0.692016939337851,0.9047870066961106,standalone,The Tale of Despereaux,Kate DiCamillo
1997-2008,0.030761472516389308,0.6938853957708978,0.9051289357458328,series,Gathering Blue,Lois Lowry
1997-2008,0.031265758951084216,0.6957454538627589,0.9053426414019091,series,The Wide Window,Lemony Snicket
1997-2008,0.03177004538577912,0.6975430362059933,0.9068884456475281,series,The Summoning,Kelley Armstrong
1997-2008,0.03227433182047403,0.6993312431157157,0.9078145034905257,series,Ender's Shadow,Orson Scott Card
1997-2008,0.03277861825516894,0.7010950343493317,0.9088759082490383,series,The Knife of Never Letting Go,Patrick Ness
1997-2008,0.03328290468986384,0.7028278494297934,0.9090682433395071,blockbuster_franchise,The Lost Colony,Eoin Colfer
1997-2008,0.033787191124558746,0.7045293975558129,0.9131500213705656,standalone,Midnight Sun [2008 Draft],Stephenie Meyer
1997-2008,0.03429147755925366,0.7062308642574718,0.9132070095455193,series,"Bleach, Volume 01",Tite Kubo
1997-2008,0.03479576399394856,0.7079253866243831,0.913634420857672,series,Quidditch Through the Ages,Kennilworthy Whisp
1997-2008,0.03530005042864347,0.7095960400216086,0.919240632568742,blockbuster_franchise,His Dark Materials,Philip Pullman
1997-2008,0.03580433686333838,0.7112486521069519,0.9203946431115544,series,Poison Study,Maria V. Snyder
1997-2008,0.036308623298033284,0.7128917491741651,0.9209004131642684,series,The Alchemyst,Michael Scott
1997-2008,0.03681290973272819,0.714526180363008,0.9210927482547372,series,The Miserable Mill,Lemony Snicket
1997-2008,0.03731719616742309,0.7161473859092911,0.9212850833452059,blockbuster_franchise,The Arctic Incident,Eoin Colfer
1997-2008,0.037821482602118005,0.7177094308416262,0.922025929619604,series,Fablehaven,Brandon Mull
1997-2008,0.03832576903681291,0.7192559586172552,0.9222182647100726,series,The Austere Academy,Lemony Snicket
1997-2008,0.038830055471507814,0.7207955885863426,0.9229306168969938,series,Blue Bloods,Melissa de la Cruz
1997-2008,0.039334341906202726,0.7223233422308446,0.9242912095740133,series,The Goose Girl,Shannon Hale
1997-2008,0.03983862834089763,0.723808778471976,0.9244194329676592,blockbuster_franchise,The Opal Deception,Eoin Colfer
1997-2008,0.040342914775592535,0.7252561313764841,0.9250605499358883,series,The Ruins of Gorlan,John Flanagan
1997-2008,0.04084720121028744,0.7266920848705186,0.9252813791138339,blockbuster_franchise,The Eternity Code,Eoin Colfer
1997-2008,0.04135148764498235,0.7281248395503895,0.9258441373415016,series,The Mysterious Benedict Society,Trenton Lee Stewart
1997-2008,0.041855774079677256,0.7295396459747903,0.9260792135631857,series,The Ersatz Elevator,Lemony Snicket
1997-2008,0.04236006051437216,0.7309452165502969,0.9262359310443083,series,"Fullmetal Alchemist, Vol. 1",Hiromu Arakawa
1997-2008,0.04286434694906707,0.732330500827981,0.9263570309160849,series,The Vile Village,Lemony Snicket
1997-2008,0.04336863338376198,0.73367010603941,0.9270836301467446,series,The Amulet of Samarkand,Jonathan Stroud
1997-2008,0.04387291981845688,0.7349940777736179,0.9273899415871206,series,Abhorsen,Garth Nix
1997-2008,0.044377206253151794,0.7363135246397908,0.9278102293774042,series,Life As We Knew It,Susan Beth Pfeffer
1997-2008,0.0448814926878467,0.7376219443211383,0.9284513463456333,series,School's Out—Forever,James Patterson
1997-2008,0.0453857791225416,0.7389258740306052,0.9287719048297478,series,Messenger,Lois Lowry
1997-2008,0.04589006555723651,0.740227535490029,0.9292064396637698,series,Among the Hidden,Margaret Peterson Haddix
1997-2008,0.04639435199193142,0.7415223689352199,0.9294557629291922,series,Rise of the Evening Star,Brandon Mull
1997-2008,0.046898638426626324,0.7428091995289764,0.929683715629007,series,Magyk,Angie Sage
1997-2008,0.04740292486132123,0.7440863406238302,0.9297620743695684,series,"Vampire Knight, Vol. 1",Matsuri Hino
1997-2008,0.04790721129601614,0.7453611087801773,0.9303675737284514,series,Inkspell,Cornelia Funke
1997-2008,0.048411497730711045,0.7466282928389438,0.9305171676877048,series,The Carnivorous Carnival,Lemony Snicket
1997-2008,0.04891578416540595,0.7478839146385158,0.9306097734720046,blockbuster_franchise,The Twilight Saga,Stephenie Meyer
1997-2008,0.049420070600100854,0.749131440530241,0.9309303319561191,series,Lirael,Garth Nix
1997-2008,0.049924357034795766,0.750364089028093,0.9312508904402337,series,Rebel Angels,Libba Bray
1997-2008,0.05042864346949067,0.7515920381771375,0.9314361020088332,series,The Slippery Slope,Lemony Snicket
1997-2008,0.050932929904185575,0.7528126126055286,0.9324618891579998,series,Princess Academy,Shannon Hale
1997-2008,0.05143721633888049,0.7540214968221585,0.9329249180794985,series,Extras,Scott Westerfeld
1997-2008,0.05194150277357539,0.7552244370604698,0.9331315002137056,series,The Burning Bridge,John Flanagan
1997-2008,0.052445789208270296,0.7563884448223982,0.9331884883886593,series,"Black Butler, Vol. 1",Yana Toboso
1997-2008,0.0529500756429652,0.7575244542363571,0.9332668471292207,blockbuster_franchise,"Harry Potter and the Order of the Phoenix (Harry Potter, #5, Part 1)",J.K. Rowling
1997-2008,0.05345436207766011,0.7586599867362043,0.933409317566605,series,The Hostile Hospital,Lemony Snicket
1997-2008,0.05395864851235502,0.7597926228552271,0.9334520586978202,standalone,"Bud, Not Buddy",Christopher Paul Curtis
1997-2008,0.05446293494704992,0.7609190009305409,0.9336230232226813,series,Furies of Calderon,Jim Butcher
1997-2008,0.054967221381744834,0.7620394350275362,0.9338011112694116,series,The Grim Grotto,Lemony Snicket
1997-2008,0.05547150781643974,0.7631349765343135,0.9341715344066106,series,The Wee Free Men,Terry Pratchett
1997-2008,0.05597579425113464,0.7642194443280593,0.9351545804245619,series,Glass Houses,Rachel Caine
1997-2008,0.05648008068582955,0.7652955719408769,0.9353397919931614,series,Gregor the Overlander,Suzanne Collins
1997-2008,0.05698436712052446,0.7663522042353742,0.9353682860806383,series,"One Piece, Volume 1: Romance Dawn",Eiichiro Oda
1997-2008,0.057488653555219364,0.7673987631732693,0.935995156005129,standalone,Let the Right One In,John Ajvide Lindqvist
1997-2008,0.05799293998991427,0.7684341204455662,0.9361589970081208,series,The Penultimate Peril,Lemony Snicket
1997-2008,0.05849722642460918,0.7694679888152707,0.9363940732298048,series,The End,Lemony Snicket
1997-2008,0.059001512859304085,0.7705006009234128,0.9364724319703661,series,The Second Summer of the Sisterhood,Ann Brashares
1997-2008,0.05950579929399899,0.7715163581889258,0.9371277959823336,series,Saving the World and Other Extreme Sports,James Patterson
1997-2008,0.0600100857286939,0.7725313128428852,0.9372702664197179,series,The Magician,Michael Scott
1997-2008,0.060514372163388806,0.77354422025578,0.9377261718193475,standalone,The Thief Lord,Cornelia Funke
1997-2008,0.06101865859808371,0.7745506951441932,0.93797549508477,series,The Golem's Eye,Jonathan Stroud
1997-2008,0.061522945032778616,0.7755545877171725,0.938381535831315,series,Masquerade,Melissa de la Cruz
1997-2008,0.06202723146747353,0.7765288069267657,0.9389585411027211,standalone,Hearts in Atlantis,Stephen King
1997-2008,0.06253151790216843,0.7774850546167856,0.938987035190198,series,"Click, Clack, Moo: Cows That Type",Doreen Cronin
1997-2008,0.06303580433686334,0.7784364517413286,0.9391081350619747,blockbuster_franchise,The Time Paradox,Eoin Colfer
1997-2008,0.06354009077155824,0.7793763447669343,0.9394785581991737,standalone,The Miraculous Journey of Edward Tulane,Kate DiCamillo
1997-2008,0.06404437720625315,0.7803114104911659,0.9396708932896424,series,The Battle for Skandia,John Flanagan
