data_driven_era,book_count,blockbuster_book_share,blockbuster_rating_share,top_1pct_rating_share,top_5pct_rating_share,top_1pct_blockbuster_books,top_5pct_blockbuster_books
1997-2008,1983,0.036308623298033284,0.6365927613417794,0.5508073353298741,0.7515920381771375,19,43
2009-2013,2897,0.04142216085605799,0.4639531553165057,0.36407750023563706,0.6313417417615073,26,53
2014-2018,1504,0.0598404255319149,0.3236795741248163,0.2133999904319954,0.5044973745725329,12,29
2019-2021,168,0.047619047619047616,0.14684139889097936,0.15139567777443716,0.39325702229922893,1,2
