first_publish_year,theme_label,theme_popularity,book_count,avg_popularity_score,year_popularity,popularity_share,popularity_share_pct
1997,Dystopian / Post-Apocalyptic,12.836400988267304,5,-0.08094914316089186,578.4022177745666,0.022192862672027854,2.2192862672027855
1997,Epic / High Fantasy,87.79727936926027,21,0.11208234127642631,578.4022177745666,0.15179277788225812,15.179277788225813
1997,Middle Grade Fantasy,237.14964504009973,54,-0.15154084089313058,578.4022177745666,0.41000818764586633,41.00081876458663
1997,Mythology Adventure,14.371432865674217,4,-0.12403478744535255,578.4022177745666,0.024846780361543343,2.4846780361543344
1997,Paranormal / Supernatural,60.62408316432206,18,-0.08409944099624495,578.4022177745666,0.10481301990434348,10.481301990434348
1997,Paranormal Romance,24.051577083652248,8,0.3019359946954292,578.4022177745666,0.0415827884896292,4.15827884896292
1997,Romantasy,13.671196901090049,3,0.49124688448619264,578.4022177745666,0.023636141911230407,2.3636141911230406
1997,Science Fiction,127.90060236220067,35,-0.2100748374551186,578.4022177745666,0.22112744113310123,22.11274411331012
1998,Dystopian / Post-Apocalyptic,13.0934625647472,5,0.1483308687976518,446.31534016517065,0.029336797072450217,2.933679707245022
1998,Epic / High Fantasy,68.3749189789459,16,0.1659273746263254,446.31534016517065,0.15319867552309982,15.319867552309981
1998,Middle Grade Fantasy,183.63397279216298,41,0.04245173096579428,446.31534016517065,0.4114444570159843,41.14444570159843
1998,Mythology Adventure,25.292531033412928,5,-0.08185294697415002,446.31534016517065,0.05666964309148049,5.666964309148049
1998,Paranormal / Supernatural,42.9215141169424,12,-0.33457151664939366,446.31534016517065,0.096168583632053,9.6168583632053
1998,Paranormal Romance,18.967979193468242,6,0.20317834077490862,446.31534016517065,0.04249905276939091,4.24990527693909
1998,Science Fiction,94.03096148549099,24,-0.32682195072115466,446.31534016517065,0.2106827908955412,21.06827908955412
1999,Dystopian / Post-Apocalyptic,24.84034314091659,8,-0.20615158475557305,564.5152953178404,0.04400295855036253,4.400295855036253
1999,Epic / High Fantasy,58.80604779506904,14,0.0688337269005632,564.5152953178404,0.1041708670833433,10.417086708334331
1999,Middle Grade Fantasy,276.21503071095015,57,0.10930027922967946,564.5152953178404,0.4892959198836803,48.92959198836803
1999,Mythology Adventure,18.902142133501616,8,-0.4568402116972936,564.5152953178404,0.03348384408762405,3.348384408762405
1999,Paranormal / Supernatural,92.48231019465916,18,-0.1735966415965246,564.5152953178404,0.16382604857958477,16.382604857958476
1999,Paranormal Romance,5.549484911242736,2,0.17009469826657045,564.5152953178404,0.009830530646859084,0.9830530646859084
1999,Romantasy,2.2965418706367577,1,0.437646673964319,564.5152953178404,0.004068165893261989,0.4068165893261989
1999,Science Fiction,85.42339456086425,27,-0.18946414542985474,564.5152953178404,0.15132166527528385,15.132166527528385
2000,Dystopian / Post-Apocalyptic,26.46675743537446,9,0.031927831185686935,682.7619660175637,0.03876425277428769,3.876425277428769
2000,Epic / High Fantasy,84.57139891568697,21,0.2725221863395915,682.7619660175637,0.12386659352010743,12.386659352010742
2000,Middle Grade Fantasy,325.31130738618674,75,0.15236258730070362,682.7619660175637,0.47646372173258733,47.64637217325873
2000,Mythology Adventure,63.28041634745046,16,-0.28595360549529336,682.7619660175637,0.09268298396372976,9.268298396372977
2000,Paranormal / Supernatural,58.29577197886237,17,0.32993404862805054,682.7619660175637,0.08538227798319208,8.538227798319207
2000,Paranormal Romance,19.210528395841067,6,0.3162965754967822,682.7619660175637,0.028136494637937822,2.8136494637937823
2000,Romantasy,3.167830241848858,1,-0.116318454248238,682.7619660175637,0.004639728630940416,0.4639728630940416
2000,Science Fiction,102.45795531631278,33,-0.1289070702994409,682.7619660175637,0.15006394675721743,15.006394675721744
2001,Dystopian / Post-Apocalyptic,24.619922830817522,8,0.24513468885112344,822.041121796765,0.029949746038257632,2.994974603825763
2001,Epic / High Fantasy,107.76105525420479,29,0.3879878903296839,822.041121796765,0.13108961631830238,13.108961631830237
2001,Middle Grade Fantasy,330.71287833566527,77,0.05478379490238157,822.041121796765,0.40230697658143205,40.23069765814321
2001,Mythology Adventure,43.6305273288842,9,-0.13505639059636973,822.041121796765,0.05307584520044372,5.307584520044372
2001,Paranormal / Supernatural,126.9121513679392,34,-0.011176676725991227,822.041121796765,0.154386621304957,15.4386621304957
2001,Paranormal Romance,59.32563455101497,18,0.2512928296962229,822.041121796765,0.07216869445818573,7.216869445818573
2001,Romantasy,7.107811230301374,2,0.6558322923554204,822.041121796765,0.008646539743371444,0.8646539743371444
2001,Science Fiction,121.9711408979376,36,-0.056086659746535455,822.041121796765,0.14837596035504996,14.837596035504996
2002,Dystopian / Post-Apocalyptic,25.982999034008337,9,-0.0024488918387983727,929.5511107026593,0.02795220051360862,2.7952200513608623
2002,Epic / High Fantasy,117.01312763015403,29,0.24770097022790394,929.5511107026593,0.12588132732335972,12.588132732335971
2002,Middle Grade Fantasy,349.07340975970885,79,0.10714420251794286,929.5511107026593,0.3755290115202379,37.552901152023786
2002,Mythology Adventure,33.23616370206949,7,-0.29941140248051695,929.5511107026593,0.03575506856954413,3.5755068569544126
2002,Paranormal / Supernatural,126.84921652376619,33,0.19755612577932216,929.5511107026593,0.13646287445978014,13.646287445978015
2002,Paranormal Romance,49.717465339815725,16,0.043249532604901914,929.5511107026593,0.053485456331964006,5.348545633196401
2002,Romantasy,26.264635039436758,8,0.3394435276846444,929.5511107026593,0.02825518116974008,2.825518116974008
2002,Science Fiction,201.4140936737,47,0.04521127281283056,929.5511107026593,0.2166788801117655,21.66788801117655
2003,Dystopian / Post-Apocalyptic,33.70029350579655,12,-0.035926916585260676,1188.3164623840546,0.02835969589968104,2.8359695899681037
2003,Epic / High Fantasy,212.59201848518717,55,0.33839764488933183,1188.3164623840546,0.17890185419015014,17.890185419015015
2003,Middle Grade Fantasy,430.30446725490907,98,0.2828875568634502,1188.3164623840546,0.36211268704601857,36.211268704601856
2003,Mythology Adventure,36.954424394195954,11,-0.23135174196456362,1188.3164623840546,0.031098133842273213,3.1098133842273215
2003,Paranormal / Supernatural,145.60554138395506,35,0.0010708936160075272,1188.3164623840546,0.12253094692623763,12.253094692623764
2003,Paranormal Romance,47.341775444085165,15,0.28122671928226417,1188.3164623840546,0.039839366820775955,3.9839366820775957
2003,Romantasy,32.64202256720941,10,0.33688509077558904,1188.3164623840546,0.02746913267676314,2.7469132676763137
2003,Science Fiction,249.17591934871632,63,-0.13652484671030515,1188.3164623840546,0.20968818259810038,20.96881825981004
2004,Dystopian / Post-Apocalyptic,54.63298260785164,17,-0.22063738711237255,1113.1543011293522,0.04907943359911889,4.907943359911889
2004,Epic / High Fantasy,174.77632922593176,44,0.10819676100616758,1113.1543011293522,0.1570099752106354,15.70099752106354
2004,Middle Grade Fantasy,401.3719774058643,90,0.09096571753628607,1113.1543011293522,0.36057173475290155,36.057173475290156
2004,Mythology Adventure,52.9493724507124,13,-0.22697780029892442,1113.1543011293522,0.04756696569109291,4.756696569109291
2004,Paranormal / Supernatural,165.02521911030016,41,-0.012214667622836246,1113.1543011293522,0.14825008441585644,14.825008441585643
2004,Paranormal Romance,53.85290214580269,17,-1.5439532780720948e-05,1113.1543011293522,0.04837864983422887,4.837864983422887
2004,Romantasy,31.70159674475286,10,0.3967158108761298,1113.1543011293522,0.028479067738039515,2.8479067738039516
2004,Science Fiction,178.8439214381365,49,-0.18805802849746547,1113.1543011293522,0.1606640887581265,16.066408875812648
2005,Dystopian / Post-Apocalyptic,33.657272947285485,11,0.2842627013553517,1381.0140506993773,0.024371419632002053,2.4371419632002054
2005,Epic / High Fantasy,199.17560017144723,49,0.16469177625553255,1381.0140506993773,0.14422416634398477,14.422416634398477
2005,Middle Grade Fantasy,517.162339000145,111,0.1240926109007408,1381.0140506993773,0.37448014286186454,37.448014286186456
2005,Mythology Adventure,75.13913401927822,17,-0.19713450242231498,1381.0140506993773,0.05440866729866074,5.440866729866074
2005,Paranormal / Supernatural,248.17376744922535,64,0.13270148014355795,1381.0140506993773,0.17970401338316902,17.9704013383169
2005,Paranormal Romance,83.1474589586559,26,0.18910388636071665,1381.0140506993773,0.06020754018870997,6.0207540188709965
2005,Romantasy,37.94386214147318,11,0.24227790785372694,1381.0140506993773,0.027475362848232817,2.7475362848232816
2005,Science Fiction,186.61461601186681,47,0.10354230088391894,1381.0140506993773,0.13512868744337603,13.512868744337602
2006,Dystopian / Post-Apocalyptic,58.13821696320752,19,0.11207154793306119,1387.430075456374,0.04190352940423599,4.190352940423598
2006,Epic / High Fantasy,259.8343743972105,65,0.28284582522444973,1387.430075456374,0.18727745563086629,18.72774556308663
2006,Middle Grade Fantasy,446.45342875346904,105,0.13766963279202238,1387.430075456374,0.32178445361047475,32.17844536104747
2006,Mythology Adventure,63.97283915266267,17,0.156074310833792,1387.430075456374,0.04610887444660574,4.610887444660574
2006,Paranormal / Supernatural,204.53276464906315,57,0.006244221889975008,1387.430075456374,0.14741843085806342,14.741843085806341
2006,Paranormal Romance,77.28573632629207,27,0.0166914927102566,1387.430075456374,0.05570423886109727,5.570423886109728
2006,Romantasy,43.14440158261489,14,0.19495155600335687,1387.430075456374,0.03109663135161835,3.109663135161835
2006,Science Fiction,234.06831363185404,62,-0.12182477431757309,1387.430075456374,0.1687063858370382,16.87063858370382
2007,Dystopian / Post-Apocalyptic,59.514917600962455,21,-0.17186192023949415,1831.97443260527,0.03248676211945036,3.2486762119450363
2007,Epic / High Fantasy,279.9717941343203,76,-0.08899405645775608,1831.97443260527,0.15282516456093193,15.282516456093193
2007,Middle Grade Fantasy,663.3784091083451,149,0.013610083015483438,1831.97443260527,0.3621111721329799,36.21111721329799
2007,Mythology Adventure,125.607397610571,30,0.005785385840037072,1831.97443260527,0.06856394684064634,6.856394684064634
2007,Paranormal / Supernatural,254.85925008448055,67,0.23396785130409975,1831.97443260527,0.13911725270207104,13.911725270207103
2007,Paranormal Romance,132.98790959706824,40,0.41450452834837914,1831.97443260527,0.0725926668135563,7.259266681355631
2007,Romantasy,38.848228170971666,12,0.05488625618784182,1831.97443260527,0.021205660668377993,2.1205660668377995
2007,Science Fiction,276.8065262985506,65,-0.1422546253513483,1831.97443260527,0.15109737416198604,15.109737416198604
2008,Dystopian / Post-Apocalyptic,123.66270798758993,33,0.30620710715229704,1987.9078994702386,0.06220746344463194,6.220746344463194
2008,Epic / High Fantasy,300.2535088890148,75,0.10033548378124404,1987.9078994702386,0.15103994957162248,15.103994957162248
2008,Middle Grade Fantasy,588.5521530913754,137,0.1060280203382256,1987.9078994702386,0.29606610711100845,29.606610711100846
2008,Mythology Adventure,52.8953736443087,13,0.3301837503524547,1987.9078994702386,0.026608563534761792,2.6608563534761793
2008,Paranormal / Supernatural,357.1172351018668,95,0.1640968531883599,1987.9078994702386,0.1796447587924147,17.96447587924147
2008,Paranormal Romance,187.18753796063882,58,0.34807731523798524,1987.9078994702386,0.09416308371757202,9.416308371757202
2008,Romantasy,43.216668612900264,12,0.252288705971394,1987.9078994702386,0.021739774073244116,2.1739774073244114
2008,Science Fiction,335.0227141825439,84,0.028561147831112098,1987.9078994702386,0.16853029975474454,16.853029975474453
2009,Dystopian / Post-Apocalyptic,121.0097097242684,34,0.35509566333199133,2392.7944117772345,0.05057254778290339,5.057254778290339
2009,Epic / High Fantasy,332.60188868510767,79,0.07891603717676736,2392.7944117772345,0.1390014482849237,13.900144828492369
2009,Middle Grade Fantasy,531.7977066744006,125,0.04537758929736279,2392.7944117772345,0.22224964420550067,22.224964420550066
2009,Mythology Adventure,100.31255463241436,23,0.11886086518228046,2392.7944117772345,0.041922763668571,4.1922763668571
2009,Paranormal / Supernatural,594.9500584430746,160,0.12437499357408481,2392.7944117772345,0.24864236372116014,24.864236372116014
2009,Paranormal Romance,332.7551526407899,104,0.29184305385087694,2392.7944117772345,0.1390655005724616,13.90655005724616
2009,Romantasy,36.22247551149283,12,-0.041524027749057314,2392.7944117772345,0.0151381478213119,1.51381478213119
2009,Science Fiction,343.1448654656863,93,0.012801998846142266,2392.7944117772345,0.1434075839431677,14.340758394316769
2010,Dystopian / Post-Apocalyptic,170.27895581974155,55,0.1457052869799361,3206.579706374019,0.053102985552257474,5.310298555225748
2010,Epic / High Fantasy,330.33447333492296,81,0.06395062210510295,3206.579706374019,0.10301770221968477,10.301770221968477
2010,Middle Grade Fantasy,682.7247491572886,156,0.009219237920732527,3206.579706374019,0.21291369985289077,21.291369985289077
2010,Mythology Adventure,133.9389025857529,34,0.01661511672987012,3206.579706374019,0.04177002128452007,4.177002128452007
